epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.935,2.83636,4.36906,1.48173,0,0,0,0,1.71749,4.06639,1.35433,4.287e-05,4.287e-05,4.287e-05
2,34.8589,2.2201,4.0798,1.27052,0.00227,0.05021,0.00183,0.0005,1.76813,3.99096,1.27872,9.6729e-05,9.6729e-05,9.6729e-05
3,52.7314,2.1599,3.6032,1.18947,0.00728,0.09295,0.01704,0.00596,1.7481,3.8358,1.18426,0.000146815,0.000146815,0.000146815
4,71.4314,2.04992,2.90756,1.10218,0.00893,0.14057,0.01932,0.01007,1.66694,3.69067,1.11771,0.000193129,0.000193129,0.000193129
5,90.5441,1.79508,2.26362,1.10193,0.01108,0.19078,0.0185,0.00704,1.71522,3.62191,1.14094,0.000235671,0.000235671,0.000235671
6,111.334,1.79667,2.05421,1.07195,0.01138,0.16026,0.018,0.00611,1.62489,3.51103,1.12153,0.000274439,0.000274439,0.000274439
7,134.001,1.73407,1.92635,1.07022,0.01466,0.25214,0.07528,0.03153,1.76441,3.3785,1.18997,0.000309436,0.000309436,0.000309436
8,158.156,1.75649,1.95858,1.06966,0.0208,0.34509,0.20392,0.11856,1.70223,3.24435,1.17082,0.000340659,0.000340659,0.000340659
9,180.485,1.66232,1.73669,1.035,0.02639,0.43803,0.31088,0.19541,1.45525,3.1108,1.13576,0.00036811,0.00036811,0.00036811
10,201.126,1.77195,1.66733,1.06065,0.0261,0.42094,0.33945,0.21674,1.43527,3.05144,1.12453,0.000391789,0.000391789,0.000391789
11,221.63,1.69418,1.62731,1.02518,0.0318,0.52732,0.3349,0.21944,1.51796,2.99187,1.1145,0.000411695,0.000411695,0.000411695
12,242.033,1.70552,1.60532,1.03745,0.03803,0.60913,0.36539,0.24703,1.42227,2.87835,1.10912,0.000427828,0.000427828,0.000427828
13,263.046,1.63158,1.56491,1.0117,0.04244,0.71291,0.43356,0.28472,1.35245,2.81516,1.09108,0.000440189,0.000440189,0.000440189
14,285.063,1.56756,1.46104,1.04492,0.04414,0.68239,0.49008,0.32165,1.35673,2.76336,1.09332,0.000448777,0.000448777,0.000448777
15,307.247,1.65035,1.43667,1.01314,0.77521,0.3985,0.57428,0.39543,1.25523,2.62343,1.09283,0.000453593,0.000453593,0.000453593
16,328.787,1.52387,1.39077,0.9884,0.95591,0.14423,0.57348,0.39159,1.35107,2.59069,1.09217,0.000454636,0.000454636,0.000454636
17,350.503,1.55187,1.38631,0.99786,1,0.11448,0.59225,0.3817,1.41052,2.54121,1.09109,0.000451907,0.000451907,0.000451907
18,372.446,1.46941,1.27312,0.99214,1,0.19013,0.64034,0.44841,1.20355,2.37237,1.08289,0.000445405,0.000445405,0.000445405
19,394.526,1.46153,1.26137,1.00876,1,0.21082,0.69849,0.4867,1.13587,2.28023,1.06449,0.00043513,0.00043513,0.00043513
20,416.196,1.4737,1.33685,1.0199,0.95794,0.2376,0.75125,0.50579,1.13144,2.20837,1.04748,0.000421083,0.000421083,0.000421083
21,438.439,1.44303,1.29074,1.01139,0.99408,0.2935,0.74367,0.50574,1.17202,2.15306,1.04665,0.000403264,0.000403264,0.000403264
22,461.429,1.46449,1.21838,1.02871,0.97373,0.29821,0.75967,0.52586,1.16265,2.1054,1.04393,0.000381672,0.000381672,0.000381672
23,482.017,1.41624,1.25047,1.05293,0.98021,0.34958,0.763,0.53947,1.1403,2.01446,1.04679,0.000356307,0.000356307,0.000356307
24,502.493,1.41604,1.17231,1.00124,0.98299,0.47634,0.77535,0.54931,1.11408,1.8692,1.04026,0.00032717,0.00032717,0.00032717
25,522.939,1.38834,1.18889,0.98263,0.98408,0.56126,0.79381,0.55585,1.06933,1.74019,1.03333,0.00029426,0.00029426,0.00029426
26,544.009,1.34505,1.1391,1.00048,0.98588,0.63743,0.81214,0.56915,1.09799,1.61462,1.0278,0.000250075,0.000250075,0.000250075
27,564.356,1.33699,1.12406,1.02555,1,0.70344,0.82471,0.58309,1.10749,1.51702,1.02693,0.000202918,0.000202918,0.000202918
28,584.799,1.33055,1.08529,1.02589,0.97037,0.71433,0.83229,0.57376,1.09506,1.44042,1.02967,0.000155761,0.000155761,0.000155761
29,605.413,1.34538,1.10627,0.97347,0.95075,0.71693,0.8332,0.57783,1.09679,1.38072,1.02772,0.000108604,0.000108604,0.000108604
30,625.828,1.33385,1.05123,0.96663,0.94924,0.72102,0.83628,0.57917,1.09759,1.32645,1.02714,6.1447e-05,6.1447e-05,6.1447e-05
